<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
SBER,60,20181010,110000,190.3400000,4133330
SBER,60,20181010,120000,192.0100000,6054020
SBER,60,20181010,130000,193.9800000,11934360
SBER,60,20181010,140000,192.9400000,6551010
SBER,60,20181010,150000,192.3900000,6005790
SBER,60,20181010,160000,190.5600000,5592020
SBER,60,20181010,170000,191.7000000,6824760
SBER,60,20181010,180000,189.8900000,9803520
SBER,60,20181011,100000,185.0100000,26601760
SBER,60,20181011,110000,183.3400000,17177100
SBER,60,20181011,120000,183.9500000,9795260
SBER,60,20181011,130000,183.5700000,11082350
SBER,60,20181011,140000,183.3500000,8371610
SBER,60,20181011,150000,184.9000000,12439550
SBER,60,20181011,160000,187.1300000,19275770
SBER,60,20181011,170000,185.4000000,9765570
SBER,60,20181011,180000,185.2700000,10306890
SBER,60,20181012,100000,189.7600000,16663010
SBER,60,20181012,110000,189.2800000,5505750
SBER,60,20181012,120000,189.6800000,3259170
SBER,60,20181012,130000,188.9700000,6653750
SBER,60,20181012,140000,189.2400000,3127000
SBER,60,20181012,150000,188.7500000,4363480
SBER,60,20181012,160000,191.0000000,7684170
SBER,60,20181012,170000,191.8300000,10511180
SBER,60,20181012,180000,191.8500000,5185850
SBER,60,20181015,100000,191.2200000,12507340
SBER,60,20181015,110000,192.0000000,3811590
SBER,60,20181015,120000,192.8300000,5146760
SBER,60,20181015,130000,190.7800000,7158410
SBER,60,20181015,140000,191.7800000,4579610
SBER,60,20181015,150000,191.6000000,4378140
SBER,60,20181015,160000,190.4000000,5850960
SBER,60,20181015,170000,190.4700000,6481640
SBER,60,20181015,180000,190.9200000,4265110
SBER,60,20181016,100000,190.5000000,7200430
SBER,60,20181016,110000,190.9200000,2464670
SBER,60,20181016,120000,190.6700000,2643670
SBER,60,20181016,130000,189.9100000,2396710
SBER,60,20181016,140000,189.9600000,5494050
SBER,60,20181016,150000,190.2100000,4702120
SBER,60,20181016,160000,191.9900000,9560790
SBER,60,20181016,170000,195.4800000,18803960
SBER,60,20181016,180000,196.0500000,10665700
SBER,60,20181017,100000,197.0900000,14398370
SBER,60,20181017,110000,196.3800000,5328240
SBER,60,20181017,120000,194.5000000,10096160
SBER,60,20181017,130000,194.1300000,5837290
SBER,60,20181017,140000,193.4400000,5275580
SBER,60,20181017,150000,194.2900000,6076780
SBER,60,20181017,160000,194.3300000,14304710
SBER,60,20181017,170000,193.4100000,10471060
SBER,60,20181017,180000,194.0500000,6748630
SBER,60,20181018,100000,193.7800000,11652100
SBER,60,20181018,110000,192.6300000,2998890
SBER,60,20181018,120000,193.6800000,3538360
SBER,60,20181018,130000,192.2800000,3291450
SBER,60,20181018,140000,191.1000000,5743650
SBER,60,20181018,150000,191.7700000,4986250
SBER,60,20181018,160000,191.3700000,5850670
SBER,60,20181018,170000,192.3500000,5843660
SBER,60,20181018,180000,191.0000000,5411140
SBER,60,20181019,100000,187.5900000,26443700
SBER,60,20181019,110000,187.4200000,8763450
SBER,60,20181019,120000,188.4200000,9993270
SBER,60,20181019,130000,188.0700000,5075220
SBER,60,20181019,140000,188.7400000,4193680
SBER,60,20181019,150000,188.2000000,3799680
SBER,60,20181019,160000,187.9300000,12024680
SBER,60,20181019,170000,185.7100000,12419980
SBER,60,20181019,180000,183.8000000,14098970
SBER,60,20181022,100000,184.3100000,10771900
SBER,60,20181022,110000,182.6400000,11245440
SBER,60,20181022,120000,182.5200000,4367190
SBER,60,20181022,130000,185.9900000,16261710
SBER,60,20181022,140000,186.6300000,6961520
SBER,60,20181022,150000,186.6800000,4581700
SBER,60,20181022,160000,181.8900000,14607180
SBER,60,20181022,170000,182.4000000,11002020
SBER,60,20181022,180000,180.7000000,12996140
SBER,60,20181023,100000,178.5000000,15544660
SBER,60,20181023,110000,177.7100000,9020110
SBER,60,20181023,120000,179.1800000,5714870
SBER,60,20181023,130000,179.6300000,6941370
SBER,60,20181023,140000,179.2100000,6821430
SBER,60,20181023,150000,180.6500000,6430760
SBER,60,20181023,160000,180.0700000,5319800
SBER,60,20181023,170000,181.8000000,13577940
SBER,60,20181023,180000,181.0000000,8363560
SBER,60,20181024,100000,183.4000000,11911920
SBER,60,20181024,110000,181.3900000,9825420
SBER,60,20181024,120000,181.7100000,5400900
SBER,60,20181024,130000,181.7800000,5404430
SBER,60,20181024,140000,186.9800000,20711660
SBER,60,20181024,150000,188.2500000,20036360
SBER,60,20181024,160000,187.5800000,7665840
SBER,60,20181024,170000,188.5700000,11135650
SBER,60,20181024,180000,188.0100000,14674400
SBER,60,20181025,100000,186.3000000,17832510
SBER,60,20181025,110000,186.8000000,10529930
SBER,60,20181025,120000,187.5000000,7217520
SBER,60,20181025,130000,187.6000000,5929150
SBER,60,20181025,140000,186.6700000,4684540
SBER,60,20181025,150000,185.0100000,9070860
SBER,60,20181025,160000,185.7800000,10167420
SBER,60,20181025,170000,185.1300000,7657330
SBER,60,20181025,180000,186.7100000,6789900
SBER,60,20181026,100000,182.9800000,15554770
SBER,60,20181026,110000,181.5600000,10469010
SBER,60,20181026,120000,180.9000000,7405340
SBER,60,20181026,130000,179.6400000,14415650
SBER,60,20181026,140000,180.1500000,8579230
SBER,60,20181026,150000,179.1300000,11513090
SBER,60,20181026,160000,179.8800000,7709700
SBER,60,20181026,170000,179.1100000,9612220
SBER,60,20181026,180000,181.0000000,7484030
SBER,60,20181029,100000,180.9300000,7873970
SBER,60,20181029,110000,183.4200000,9674230
SBER,60,20181029,120000,184.0800000,8423360
SBER,60,20181029,130000,185.3200000,9307630
SBER,60,20181029,140000,185.0600000,7009350
SBER,60,20181029,150000,184.7100000,6128790
SBER,60,20181029,160000,184.2500000,3761080
SBER,60,20181029,170000,185.0400000,5194810
SBER,60,20181029,180000,185.5900000,3934970
SBER,60,20181030,100000,184.3800000,8073730
SBER,60,20181030,110000,184.5100000,5338520
SBER,60,20181030,120000,184.7000000,2591940
SBER,60,20181030,130000,186.0000000,7640410
SBER,60,20181030,140000,184.8800000,5102650
SBER,60,20181030,150000,183.2700000,7622880
SBER,60,20181030,160000,183.8900000,12794770
SBER,60,20181030,170000,183.7600000,5901540
SBER,60,20181030,180000,184.7800000,5881480
SBER,60,20181031,100000,185.8000000,9846490
SBER,60,20181031,110000,187.4500000,9728150
SBER,60,20181031,120000,186.6400000,4934150
SBER,60,20181031,130000,186.3900000,2494940
SBER,60,20181031,140000,186.1300000,5934670
SBER,60,20181031,150000,185.2400000,4012750
SBER,60,20181031,160000,186.5100000,5647000
SBER,60,20181031,170000,186.1100000,5861620
SBER,60,20181031,180000,189.8000000,18347320
SBER,60,20181101,100000,189.1500000,15578920
SBER,60,20181101,110000,190.0500000,11573650
SBER,60,20181101,120000,188.3500000,10361370
SBER,60,20181101,130000,188.2500000,4056270
SBER,60,20181101,140000,189.2200000,4432780
SBER,60,20181101,150000,187.6000000,3782160
SBER,60,20181101,160000,187.9900000,8646820
SBER,60,20181101,170000,189.4900000,11321120
SBER,60,20181101,180000,188.6700000,7735210
SBER,60,20181102,100000,190.0000000,8498460
SBER,60,20181102,110000,192.4800000,13100840
SBER,60,20181102,120000,191.9500000,6851680
SBER,60,20181102,130000,192.2600000,4359510
SBER,60,20181102,140000,192.3000000,5475080
SBER,60,20181102,150000,192.0200000,4297410
SBER,60,20181102,160000,191.6300000,8155600
SBER,60,20181102,170000,192.2200000,9542550
SBER,60,20181102,180000,192.6000000,8820230
SBER,60,20181106,100000,195.3300000,14996830
SBER,60,20181106,110000,196.2500000,10048130
SBER,60,20181106,120000,196.1100000,5364540
SBER,60,20181106,130000,196.3000000,8865700
SBER,60,20181106,140000,196.6000000,3334320
SBER,60,20181106,150000,196.7600000,5406320
SBER,60,20181106,160000,197.4100000,6535780
SBER,60,20181106,170000,197.1500000,5761090
SBER,60,20181106,180000,197.8000000,5163060
SBER,60,20181107,100000,195.7900000,12002450
SBER,60,20181107,110000,197.1600000,8262750
SBER,60,20181107,120000,201.8800000,19327040
SBER,60,20181107,130000,202.0900000,13946540
SBER,60,20181107,140000,200.5000000,8289760
SBER,60,20181107,150000,198.7500000,12254460
SBER,60,20181107,160000,199.6900000,7154600
SBER,60,20181107,170000,201.1600000,10518090
SBER,60,20181107,180000,201.9000000,6828310
SBER,60,20181108,100000,202.0400000,21169090
SBER,60,20181108,110000,204.1600000,16199590
SBER,60,20181108,120000,202.7000000,6981350
SBER,60,20181108,130000,202.5100000,8770880
SBER,60,20181108,140000,200.3000000,8457760
SBER,60,20181108,150000,202.3900000,8352160
SBER,60,20181108,160000,202.8200000,6524660
SBER,60,20181108,170000,203.6500000,8703250
SBER,60,20181108,180000,202.8900000,9515300
SBER,60,20181109,100000,200.8800000,15002420
SBER,60,20181109,110000,200.5300000,10199900
SBER,60,20181109,120000,200.7000000,6683860
SBER,60,20181109,130000,199.4100000,12575330
SBER,60,20181109,140000,197.6700000,13183560
SBER,60,20181109,150000,198.0000000,5149140
SBER,60,20181109,160000,195.6800000,11407970
SBER,60,20181109,170000,194.6500000,10833070
