<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ROSN,D,20170410,000000,327.2000000
ROSN,D,20170411,000000,330.5000000
ROSN,D,20170412,000000,325.1000000
ROSN,D,20170413,000000,321.9000000
ROSN,D,20170414,000000,315.7500000
ROSN,D,20170417,000000,323.2500000
ROSN,D,20170418,000000,318.4000000
ROSN,D,20170419,000000,315.0500000
ROSN,D,20170420,000000,316.6000000
ROSN,D,20170421,000000,317.4000000
ROSN,D,20170424,000000,320.3000000
ROSN,D,20170425,000000,320.1500000
ROSN,D,20170426,000000,326.0500000
ROSN,D,20170427,000000,318.3500000
ROSN,D,20170428,000000,317.2500000
ROSN,D,20170502,000000,316.0000000
ROSN,D,20170503,000000,311.6500000
ROSN,D,20170504,000000,310.0000000
ROSN,D,20170505,000000,312.4500000
ROSN,D,20170510,000000,315.0500000
ROSN,D,20170511,000000,312.3500000
ROSN,D,20170512,000000,307.5000000
ROSN,D,20170515,000000,314.1500000
ROSN,D,20170516,000000,312.9000000
ROSN,D,20170517,000000,311.5500000
ROSN,D,20170518,000000,305.0000000
ROSN,D,20170519,000000,306.1000000
ROSN,D,20170522,000000,307.3000000
ROSN,D,20170523,000000,312.4000000
ROSN,D,20170524,000000,307.0000000
ROSN,D,20170525,000000,306.4000000
ROSN,D,20170526,000000,304.0000000
ROSN,D,20170529,000000,307.2500000
ROSN,D,20170530,000000,305.0000000
ROSN,D,20170531,000000,301.5500000
ROSN,D,20170601,000000,301.4500000
ROSN,D,20170602,000000,301.0000000
ROSN,D,20170605,000000,305.0000000
ROSN,D,20170606,000000,302.5500000
ROSN,D,20170607,000000,308.0000000
ROSN,D,20170608,000000,307.5000000
ROSN,D,20170609,000000,306.0000000
ROSN,D,20170613,000000,312.1500000
ROSN,D,20170614,000000,304.3000000
ROSN,D,20170615,000000,301.6000000
ROSN,D,20170616,000000,306.5000000
ROSN,D,20170619,000000,311.0000000
ROSN,D,20170620,000000,316.0000000
ROSN,D,20170621,000000,318.4000000
ROSN,D,20170622,000000,319.0000000
ROSN,D,20170623,000000,322.0000000
ROSN,D,20170626,000000,321.0000000
ROSN,D,20170627,000000,327.3000000
ROSN,D,20170628,000000,332.4000000
ROSN,D,20170629,000000,333.0000000
ROSN,D,20170630,000000,323.0000000
ROSN,D,20170703,000000,329.4000000
ROSN,D,20170704,000000,332.4000000
ROSN,D,20170705,000000,327.2000000
ROSN,D,20170706,000000,324.5000000
ROSN,D,20170707,000000,317.8000000
ROSN,D,20170710,000000,320.5000000
ROSN,D,20170711,000000,319.6000000
ROSN,D,20170712,000000,320.5500000
ROSN,D,20170713,000000,318.0000000
ROSN,D,20170714,000000,318.0000000
ROSN,D,20170717,000000,315.9000000
ROSN,D,20170718,000000,315.1000000
ROSN,D,20170719,000000,318.5000000
ROSN,D,20170720,000000,317.8500000
ROSN,D,20170721,000000,317.4000000
ROSN,D,20170724,000000,313.3000000
ROSN,D,20170725,000000,314.1500000
ROSN,D,20170726,000000,310.0000000
ROSN,D,20170727,000000,310.0000000
ROSN,D,20170728,000000,305.9000000
ROSN,D,20170731,000000,311.3000000
ROSN,D,20170801,000000,316.1000000
ROSN,D,20170802,000000,322.0000000
ROSN,D,20170803,000000,317.0000000
ROSN,D,20170804,000000,316.0000000
ROSN,D,20170807,000000,316.2500000
ROSN,D,20170808,000000,315.0000000
ROSN,D,20170809,000000,309.2500000
ROSN,D,20170810,000000,305.0000000
ROSN,D,20170811,000000,303.9500000
ROSN,D,20170814,000000,305.0000000
ROSN,D,20170815,000000,304.9000000
ROSN,D,20170816,000000,302.0500000
ROSN,D,20170817,000000,301.7500000
ROSN,D,20170818,000000,300.0500000
ROSN,D,20170821,000000,301.1000000
ROSN,D,20170822,000000,300.9500000
ROSN,D,20170823,000000,303.2000000
ROSN,D,20170824,000000,301.0000000
ROSN,D,20170825,000000,301.5000000
ROSN,D,20170828,000000,300.9500000
ROSN,D,20170829,000000,301.0000000
ROSN,D,20170830,000000,307.0000000
ROSN,D,20170831,000000,304.0000000
ROSN,D,20170901,000000,304.1000000
ROSN,D,20170904,000000,302.6000000
ROSN,D,20170905,000000,302.8500000
ROSN,D,20170906,000000,303.0000000
ROSN,D,20170907,000000,306.0000000
ROSN,D,20170908,000000,314.9500000
ROSN,D,20170911,000000,314.2000000
ROSN,D,20170912,000000,314.6000000
ROSN,D,20170913,000000,314.7500000
ROSN,D,20170914,000000,319.3000000
ROSN,D,20170915,000000,319.7000000
ROSN,D,20170918,000000,318.0000000
ROSN,D,20170919,000000,313.0000000
ROSN,D,20170920,000000,315.0000000
ROSN,D,20170921,000000,316.7000000
ROSN,D,20170922,000000,316.7000000
ROSN,D,20170925,000000,321.5500000
ROSN,D,20170926,000000,323.4500000
ROSN,D,20170927,000000,324.5000000
ROSN,D,20170928,000000,321.9000000
ROSN,D,20170929,000000,318.9500000
ROSN,D,20171002,000000,315.0000000
